time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,cidade,estado,regiao,latitude,longitude
2025-01-01,23.6,28.6,19.3,0.4,11.0,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-02,23.5,29.4,19.5,1.7,13.2,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-03,22.7,27.5,19.7,8.7,18.3,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-04,22.2,26.6,19.7,1.9,13.2,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-05,22.7,28.2,17.8,22.4,17.1,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-06,23.6,29.5,18.5,0.6,15.5,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-07,23.0,29.0,18.5,3.1,13.1,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-08,23.0,30.1,18.8,2.2,16.2,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-09,22.6,28.2,19.2,1.3,19.2,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-10,22.5,28.9,17.4,0.0,16.0,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-11,22.8,30.8,17.6,0.9,18.3,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-12,21.8,27.0,18.5,3.2,19.2,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-13,21.9,29.1,16.9,0.0,20.6,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-14,22.0,29.0,16.1,0.0,18.3,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-15,23.2,30.0,18.8,7.6,16.2,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-16,23.7,29.6,21.4,30.3,12.3,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-17,23.5,25.9,21.5,6.9,16.2,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-18,24.5,28.6,20.6,5.6,14.8,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-19,25.2,29.9,21.2,3.2,13.8,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-01-20,25.5,30.1,20.9,0.1,17.7,Sorocaba,SP,Sudeste,-23.5015,-47.4526
