time,pm10,pm2_5,nitrogen_dioxide,ozone,us_aqi,cidade,estado,regiao,latitude,longitude
2025-07-01T00:00,1.3,1.2,3.9,42.0,37,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T01:00,1.2,1.1,3.3,43.0,35,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T02:00,1.2,1.1,2.7,44.0,33,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T03:00,1.2,1.1,2.2,44.0,32,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T04:00,1.0,0.9,2.0,44.0,30,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T05:00,0.8,0.8,1.9,44.0,29,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T06:00,0.8,0.8,2.1,44.0,27,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T07:00,0.9,0.8,2.6,45.0,26,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T08:00,1.1,1.0,3.3,46.0,24,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T09:00,0.9,0.8,3.7,50.0,23,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T10:00,0.7,0.7,3.2,52.0,22,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T11:00,0.7,0.7,2.5,55.0,21,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T12:00,1.0,0.9,2.0,57.0,22,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T13:00,1.4,1.3,1.9,58.0,23,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T14:00,1.8,1.7,2.0,59.0,24,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T15:00,2.1,1.9,2.5,58.0,24,Sorocaba,SP,Sudeste,-23.5015,-47.4526
2025-07-01T16:00,2.2,2.0,3.7,53.0,25,Sorocaba,SP,Sudeste,-23.5015,-47.4526
